pt_index,mean_p_residual_lossless,mean_p_residual_full_y
111722,1.6787412334218779,1.6623761492035873
111810,2.0095597755026566,2.0036318783867
111888,2.4470853645966875,2.4468005631079333
112282,1.70604980053147,1.6933997031252488
112376,2.04529249736243,2.022328885483213
112521,2.539369410161357,2.5315009205477765
113162,2.720111514447046,2.6577218848962993
114104,1.45222404066799,1.4331896222104892
114206,1.7867451843850952,1.7701552308907047
114447,2.1691384614201983,2.141005142896984
114567,1.5604077523694757,1.558692180798653
114700,1.6314681319077275,1.6258147843696078
114823,2.0549930835921923,2.018349900449654
114955,2.484097707021435,2.4836790331922254
115001,2.4686705206083843,2.400558920655526
115125,2.0601966666814286,1.9906629124746462
115266,1.6005825507888838,1.5178751790160705
115441,2.2207592689960816,2.214773762121529
115872,1.7382646885634458,1.7372491842784625
115943,1.8717361834981472,1.842393107933821
115967,1.9866770755003724,1.9137537196111518
116003,2.3320487557086294,2.329549399858327
116271,2.4514374069975813,2.373242219801981
116536,1.8540043171369693,1.8492338181810297
116673,2.3842017665377906,2.3337561033535876
116734,2.641785128650652,2.613979967574472
117681,1.5714478641292544,1.5657161509512816
117860,1.998512989265286,1.969953925067868
118461,1.8642241106316109,1.7898159378697742
118719,2.0253765723273194,2.0183672718839443
118925,1.6320231336656266,1.629148440676589
119117,2.4476368998949583,2.446308558614123
119917,2.5330314940229544,2.472248996623167
119950,2.252650045505235,2.1950398112372476
120143,1.8810034097332546,1.8715287969165213
121036,1.8066227948580242,1.7900630056816829
121059,1.968287087760661,1.8925459975962757
121269,2.3708854623710787,2.307142408898992
121350,2.8219268622463853,2.7695680388945707
121602,1.8220182599608978,1.8038695959923725
121638,1.7783774977936309,1.7733084289433767
121815,2.143860467326266,2.1403426137596853
121933,2.645643300179563,2.5774597665805157
122181,1.7648434619309596,1.6861900058012125
122231,1.6930442225892934,1.612601625907148
122301,1.6983964597688463,1.6397439319953435
122383,1.7726743943897303,1.76232824900944
122490,2.3973739594398547,2.3245160466853942
122664,2.171811885615797,2.1302958651275468
122718,2.0382248163268124,2.020631487656515
122751,1.7849072804390416,1.7738304102466014
123015,1.9594846674862865,1.9591149237945478
123124,2.437873919057615,2.4207328527735745
123256,2.3015079029989938,2.3005209324822133
123757,2.435077746453012,2.4338128457397024
123824,2.5392352380732,2.5318473360944025
124098,1.7115488765108884,1.702277279495308
124322,2.5974865968023315,2.577659629604982
124774,2.1405779833146497,2.138896418074124
124818,2.2272248247934776,2.2220913108328317
125066,2.238014727934522,2.233411414750414
125164,1.995720009966622,1.995364882999242
125213,1.7223979693848959,1.7131198721037197
125547,2.540023581270181,2.4857689567003125
125565,2.5313483580610336,2.4770937334911642
125797,1.7786113397004328,1.7629464235500631
126042,1.8334983567112384,1.7576953143585303
126157,2.138088000581677,2.12145712181778
126460,1.3952095501760797,1.381273255089483
126544,1.403075480536282,1.3986511224003513
126603,1.7483384737519887,1.6714517928392287
126671,2.023629722188956,1.943650682276457
126727,2.1316714638800516,2.0620658682567625
126749,2.0965700071934963,2.0938261289557447
126751,2.1020472879765304,2.099303409738779
126873,2.143614835588036,2.137677971221619
127019,1.556190232700276,1.524236924615546
127024,1.4063079136324992,1.3347836221205813
127045,1.583678345498127,1.5707131788157815
127291,2.311449710675733,2.2889209485113926
127684,1.6973648042079508,1.6918100318151623
127950,2.534038272938945,2.5232607305350547
128330,1.6062239131619858,1.6013166144248925
128365,1.7944258660087393,1.7859824993721856
128385,1.8923031742452698,1.8168423320468028
128393,1.8831308431563896,1.8076700009579227
128448,2.0532723567392153,2.0492192935329583
128578,2.579663799999021,2.573864119110973
128597,2.4835533008468724,2.4241201960301506
128748,1.9567310363461483,1.9470450179915078
129075,2.2446202789689473,2.1808106299269006
129212,2.3441474275218197,2.3364169516526143
129267,2.1694412519293875,2.132712193591346
129467,1.6593020092327333,1.6435466684875482
129687,1.9463276322667318,1.8831191881329399
129970,1.512665037985777,1.5056151028192295
130051,1.4605164489193039,1.4473964716496197
130055,1.4454422949324786,1.419526471054299
130086,1.6399505751160721,1.5673730330098024
130156,1.4649568644841098,1.4553982658192748
131404,1.8759464345825467,1.8652740245290536
131484,2.0585308693273663,2.0076405210022132
131984,1.7103376754783968,1.6367216889517986
132164,2.0119702612476726,2.0079031194233603
132166,2.0156601539913326,2.0115930121670194
132707,2.0141638352016553,1.941095389917306
132981,1.8706851929041455,1.8454450120179176
133276,2.0259389701714943,1.9607636876180712
133788,1.753300535152098,1.751550897956187
133885,2.04115893272123,2.0407397975563053
134149,2.000796888669019,1.9220100043498831
134213,1.7152804320707595,1.708131228125773
134225,1.481600065868625,1.4735483123875397
134513,1.7902748131307382,1.7720784623727315
134527,1.9077887915749896,1.8924414780476477
134543,1.9021105492606432,1.8867632357333015
134551,1.7606726535869723,1.7473728758021938
134643,1.9843250798633016,1.9806589315342003
134884,1.4646852256255147,1.3861660999221335
134998,1.3696194562027117,1.36435721424775
135580,1.7255645943531643,1.7196155741871189
135764,2.350031081052621,2.2802456334769468
136379,2.389309525141969,2.3683108179505803
136395,2.4116306693106386,2.4114606713543396
136410,2.434059079863647,2.4338890819073478
136789,1.819577783316146,1.8184954435558158
137085,2.554802564422862,2.491041708689745
137218,1.8312392164837954,1.816047150137178
137240,1.7452767131357532,1.6692399795391184
137681,2.2181239495185303,2.152231125025558
137704,2.4174608818767434,2.3307786772435626
138170,2.456030235558601,2.4101418867824593
138206,2.423121956811257,2.355970941898054
